register,dimension,component,raw_metric,source_repo,artifact,formula,score
GLEIF golden copy + ISIN-LEI mapping,D1,Check-digit conformance of the full ISIN-LEI mapping file,"0 ISIN or LEI check-digit failures out of 9,119,948 pairs, validated in full, not sampled (8 Aug 2026 file); the validators reject corrupted vectors in embedded self-tests, so the zero is a validated null result",fabio-rovai/investment-fund-ontology,README.md (finding 1); reports/GOVERNANCE_REPORT.md (section 2),100 * (1 - 0/9119948),100.0
GLEIF golden copy + ISIN-LEI mapping,D2,Syntactically valid LEIs resolving via the GLEIF API,"3,626 of 3,626 syntactically valid LEIs filed in the EIOPA register resolve via the GLEIF API; the only 4 non-resolving values are the 4 that fail ISO 7064 arithmetic",fabio-rovai/insurance-register-ontology,README.md (headline bullets),100 * 3626/3626,100.0
GLEIF golden copy + ISIN-LEI mapping,D3,ISIN-LEI mapping agreeing with SEC N-PORT filing-attested pairs,"47,374 filing-attested (LEI, ISIN) pairs agree with the GLEIF open mapping and 2,055 contradict it, where both sources assert a pair (2026q2 N-PORT quarter)",fabio-rovai/investment-fund-ontology,README.md (finding 10),100 * 47374/(47374+2055),95.84
GLEIF golden copy + ISIN-LEI mapping,D4,LEI registrations current (not lapsed) worldwide,"GLEIF's July 2026 data quality report puts 35.0% of all LEIs worldwide in a lapsed state, as recorded in the BRO build",fabio-rovai/bank-register-ontology,README.md (finding 8),100 * (1 - 0.35),65.0
GLEIF golden copy + ISIN-LEI mapping,D4,ISIN-LEI mapping coverage of US ETFs,"497 of 4,053 self-reported ETF funds have at least one ISIN for their LEI in the GLEIF open mapping file (12.3%); the Vanguard 500 Index Fund (VOO) is among those missing",fabio-rovai/investment-fund-ontology,README.md (finding 4),100 * 497/4053,12.26
GLEIF golden copy + ISIN-LEI mapping,D4,ISIN-LEI mapping coverage of filing-attested pairs,"185,894 of 235,327 (LEI, ISIN) pairs attested in public N-PORT filings are absent from the GLEIF open mapping; 49,429 are present (47,374 agreeing + 2,055 contradicting)",fabio-rovai/investment-fund-ontology,README.md (finding 10),100 * 49429/235327,21.0
GLEIF golden copy + ISIN-LEI mapping,D5,Governance signal checklist (recorded signals only),"Passes 4: CC0 1.0 licence; dated golden copy published on a fixed cadence (08:00 publish recorded); full lifecycle status vocabulary (ISSUED/LAPSED/RETIRED/DUPLICATE/ANNULLED) published per record; managing LOU recorded per record. Fails 1: GLEIF's own lei-rdf issue #218, proposing SHACL constraints, has stood unanswered since January 2022",fabio-rovai/bank-register-ontology,README.md (related work table; licence section),100 * 4/(4+1),80.0
Crossref,D1,update-type values conforming to the declared closed enumeration,"365 records of 475,593 carry one of 22 schema-invalid update-type values (the XSD declares a closed 12-value enumeration on a required attribute; the live index holds 34 distinct values, including retration, retracion, 68818 and this_is_some_update_23)",fabio-rovai/scholarly-record-ontology,README.md (finding 3); BUILD_REPORT.md (section 5),100 * (1 - 365/475593),99.92
Crossref,D1,Retraction notices correctly not classed as retracted research (Europe PMC control),"181 of 19,803 Europe PMC notice DOIs are asserted retracted research by Crossref (0.91%)",fabio-rovai/scholarly-record-ontology,README.md (finding 2 control table); data/derived/findings_four_register.json,100 - 0.91,99.09
Crossref,D3,Agreement with Retraction Watch on the retracted record,"58,449 DOIs asserted retracted by both, of 80,705 asserted by at least one (intersection over union 72.42%); both datasets are published by Crossref itself since the September 2023 acquisition",fabio-rovai/scholarly-record-ontology,README.md (finding 1),100 * 58449/80705,72.42
Crossref,D4,Corrective notices carrying their own DOI,"25.73% of retractive assertions register the notice against the same DOI as the work it retracts, so the notice has no independent identity (31,449 of 122,245)",fabio-rovai/scholarly-record-ontology,README.md (finding 4); data/derived/findings.json,100 - 25.73,74.27
Crossref,D4,Coverage of the Retraction Watch retracted record,"1,798 of 60,247 Retraction Watch retracted DOIs are absent from Crossref update-to (2.98%)",fabio-rovai/scholarly-record-ontology,README.md (finding 1),100 * (1 - 1798/60247),97.02
Crossref,D5,Governance signal checklist (recorded signals only),"Passes 3: dated update records; a declared update-type status vocabulary exists; named custodian (Crossref, acquisition of Retraction Watch recorded). Fails 2: the Retraction Watch dataset is distributed with no licence named anywhere; deposit-time validation of the closed enumeration is not enforced on the update path",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 8); README.md (finding 3),100 * 3/(3+2),60.0
Retraction Watch,D1,RetractionNature values conforming to the documented vocabulary,"264 of 71,799 records carry an empty, undocumented RetractionNature value (plus 1 malformed row); the documented values are Retraction, Correction, Expression of concern, Reinstatement",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 2); data/derived/findings.json,100 * (1 - 264/71799),99.63
Retraction Watch,D1,Retraction notices correctly not classed as retracted research (Europe PMC control),"70 of 19,803 Europe PMC notice DOIs sit in Retraction Watch's original-paper column (0.35%)",fabio-rovai/scholarly-record-ontology,README.md (finding 2 control table); data/derived/findings_four_register.json,100 - 0.35,99.65
Retraction Watch,D3,Agreement with Crossref on the retracted record,"58,449 DOIs asserted retracted by both, of 80,705 asserted by at least one (intersection over union 72.42%)",fabio-rovai/scholarly-record-ontology,README.md (finding 1),100 * 58449/80705,72.42
Retraction Watch,D4,Records carrying the original work's DOI,"6,210 of 71,799 records carry no original DOI (8.6%)",fabio-rovai/scholarly-record-ontology,data/derived/findings.json (rw_records_without_original_doi),100 * (1 - 6210/71799),91.35
Retraction Watch,D4,Internal date consistency,0 records have a retraction date earlier than the original publication date (guarded null result; dates parsed with an explicit format),fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 2),100 * (1 - 0/71799),100.0
Retraction Watch,D5,Governance signal checklist (recorded signals only),"Passes 3: dated records; the richest status vocabulary of the four registers, including 160 Reinstatement records no scholarly vocabulary can express; named custodian. Fails 2: published with no licence stated (raw data therefore not redistributable); 264 empty status values are undocumented",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (sections 2 and 8),100 * 3/(3+2),60.0
OpenAlex,D1,Retraction notices correctly not classed as retracted research (RW notice column),"53,734 of 56,848 Retraction Watch notice DOIs carry is_retracted true in OpenAlex (94.5%), including the Nature retraction note for the LK-99-era lutetium hydride paper",fabio-rovai/scholarly-record-ontology,README.md (finding 2),100 - 94.5,5.5
OpenAlex,D1,Retraction notices correctly not classed as retracted research (Europe PMC control),"19,001 of 19,803 Europe PMC notice DOIs are flagged retracted research by OpenAlex (95.95%)",fabio-rovai/scholarly-record-ontology,README.md (finding 2 control table); data/derived/findings_four_register.json,100 - 95.95,4.05
OpenAlex,D3,Retraction assertions corroborated by at least one other register,"56,517 of 132,983 OpenAlex retracted DOIs are asserted by no other register (oa_only in the three-register Venn); 74.5% of uniquely-OpenAlex DOIs are notice DOIs",fabio-rovai/scholarly-record-ontology,"data/derived/findings.json (venn, register sizes); README.md (finding 2)",100 * (132983-56517)/132983,57.5
OpenAlex,D4,Coverage of Retraction Watch DOIs,"20,779 of 20,791 probed Retraction Watch DOIs are present in OpenAlex",fabio-rovai/scholarly-record-ontology,"data/derived/findings.json (probe_total, probe_found_in_openalex)",100 * 20779/20791,99.94
OpenAlex,D4,Retracted papers it holds that it flags,"22 of 20,779 probed DOIs found in OpenAlex were unflagged (0.11%); where OpenAlex has the paper, it almost always knows. This hypothesis of frequent silent failure was wrong and is reported as a null result",fabio-rovai/scholarly-record-ontology,README.md (finding 6); BUILD_REPORT.md (section 3),100 * (1 - 22/20779),99.89
OpenAlex,D5,Governance signal checklist (recorded signals only),Passes 2: an is_retracted status field exists; named custodian. Fails 2: API metering appeared mid-harvest with a pricing page that does not render to a fetchable document and unverifiable policy history; the notice/paper category distinction achievable in three sibling registers is not enforced,fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 3); README.md (finding 2),100 * 2/(2+2),50.0
Europe PMC,D1,Notice/paper category separation in its own publication types,"64 DOIs overlap between Europe PMC's Retracted Publication and Retraction of Publication sets (0.32% of notices), reported rather than rounded to zero",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 10); data/derived/findings_four_register.json,100 - 0.32,99.68
Europe PMC,D3,Retraction assertions corroborated by at least one other register,"21 of 33,262 Europe PMC retracted DOIs are asserted by none of the other three registers",fabio-rovai/scholarly-record-ontology,data/derived/findings_four_register.json (epmc_also_in),100 * (33262-21)/33262,99.94
Europe PMC,D4,Retracted-publication records carrying a DOI,"631 of 33,893 retracted records carry no DOI (1.86%)",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 10),100 * (1 - 631/33893),98.14
Europe PMC,D4,Notice records carrying a DOI,"621 of 20,424 notice records carry no DOI (3.04%)",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (section 10),100 * (1 - 621/20424),96.96
Europe PMC,D5,Governance signal checklist (recorded signals only),"Passes 3: two distinct MEDLINE publication types keep the withdrawn paper and the notice apart (the control register of the study); named custodian (EMBL-EBI); free, unmetered, cursor-paged access. Fails 0 recorded",fabio-rovai/scholarly-record-ontology,BUILD_REPORT.md (sections 1 and 10),100 * 3/(3+0),100.0
ASN (Achievement Standards Network),D1,Identifier uniqueness against the scheme's global-uniqueness promise,"79,882 of 770,861 distinct ASN identifiers are attached to more than one distinct statement record (10.4%); 433 are hard collisions with materially different text; the mirror image puts one statement text under 718 distinct identifiers",fabio-rovai/learning-standards-ontology,reports/GOVERNANCE_REPORT.md (R4),100 * (1 - 79882/770861),89.64
ASN (Achievement Standards Network),D2,Identifiers dereferencing (census A: cited in public code),"0 of 44,084 ASN identifiers cited in public code resolve; every one returns HTTP 404",fabio-rovai/learning-standards-ontology,"reports/GOVERNANCE_REPORT.md (R1, census A)",100 * 0/44084,0.0
ASN (Achievement Standards Network),D2,Identifiers dereferencing (census B: document identifiers in the live corpus),"0 of 3,057 ASN document identifiers resolve",fabio-rovai/learning-standards-ontology,"reports/GOVERNANCE_REPORT.md (R1, census B)",100 * 0/3057,0.0
ASN (Achievement Standards Network),D2,Identifiers dereferencing (census C: random sample of statement identifiers),"0 of 20,000 statement identifiers sampled from 770,861 resolve (95% Wilson interval 0.00% to 0.02%)",fabio-rovai/learning-standards-ontology,"reports/GOVERNANCE_REPORT.md (R1, census C)",100 * 0/20000,0.0
ASN (Achievement Standards Network),D5,Governance signal checklist (recorded signals only),Passes 1: the schema at purl.org/ASN/schema/core/ still returns 200 and serves real RDF/XML. Fails 2: custody status is orphaned (nobody honours the identifiers); the scheme's declared dereferenceability promise is broken for every identifier while the PURL layer still faithfully forwards to a 404,fabio-rovai/learning-standards-ontology,README.md (dead-identifier section); skos/identifier-schemes.ttl,100 * 1/(1+2),33.33
Common Standards Project,D1,Uniqueness of the register's own statement identifiers,"1,931,373 distinct Common Standards Project identifiers across 1,931,913 statement rows (540 rows share an identifier, 0.03%)",fabio-rovai/learning-standards-ontology,reports/GOVERNANCE_REPORT.md (corpus section),100 * (1 - 540/1931913),99.97
Common Standards Project,D4,Standard sets stating a licence,"1,498 of 23,700 standard sets state no licence at all (6.3%), a standing block on downstream open use",fabio-rovai/learning-standards-ontology,reports/GOVERNANCE_REPORT.md (R6),100 * (1 - 1498/23700),93.68
Common Standards Project,D4,Standard sets carrying a publication status,"10,314 of 23,700 standard sets carry no publication status, so a consumer cannot tell whether they are in force (43.5%)",fabio-rovai/learning-standards-ontology,reports/GOVERNANCE_REPORT.md (adoption status),100 * (1 - 10314/23700),56.48
Common Standards Project,D4,Statements carrying the ecosystem's alignment identifier (ASN),"992,992 of 1,931,913 statement rows carry an ASN identifier (51.4%)",fabio-rovai/learning-standards-ontology,reports/GOVERNANCE_REPORT.md (corpus section),100 * 992992/1931913,51.4
Common Standards Project,D5,Governance signal checklist (recorded signals only),"Passes 3: a licence vocabulary is in use (93.7% of sets carry CC BY 3.0/4.0 US); an adoption-status vocabulary exists (Published/Deprecated); a public API serves the corpus. Fails 1: 770,861 dead ASN identifiers are republished with no signal that every one of them 404s",fabio-rovai/learning-standards-ontology,"reports/GOVERNANCE_REPORT.md (R6, adoption status, R1)",100 * 3/(3+1),75.0
CEDS Ontology v14,D1,Terms conforming to OWL/SKOS typing discipline,"965 terms are typed as both an owl:Class and a skos:ConceptScheme, of 967 declared classes, so rdf:type and skos:inScheme are used interchangeably and no reasoner can distinguish an instance from a member",fabio-rovai/learning-standards-ontology,"README.md (incumbent section, point 3); reports/INCUMBENT_CAPABILITY.md",100 * (1 - 965/967),0.21
CEDS Ontology v14,D4,Properties carrying a declared rdfs:domain,"0 of 2,336 domain properties declare rdfs:domain",fabio-rovai/learning-standards-ontology,"README.md (incumbent section, point 1)",100 * 0/2336,0.0
CEDS Ontology v14,D4,Object properties shipped versus claimed,The repository README states the ontology provides meaning through Object Properties; the shipped v14 file declares 0 owl:ObjectProperty and 0 owl:DatatypeProperty,fabio-rovai/learning-standards-ontology,"README.md (incumbent section, point 2)",100 * 0/1 (claimed capability absent),0.0
CEDS Ontology v14,D4,SKOS concepts carrying hierarchy,"19,546 SKOS concepts carry zero skos:broader or skos:narrower relations; the 1,753 SCED course codes and 7,916 ISO 639-3 language codes are published as flat lists",fabio-rovai/learning-standards-ontology,"README.md (incumbent section, point 3)",100 * 0/19546,0.0
CEDS Ontology v14,D5,Governance signal checklist (recorded signals only),"Passes 3: Apache-2.0 licensed; pinned versioned release (V14.0.0.0 tag, SHA-256 beginning 26d782b6047236e8, reproducible byte for byte); actively maintained with a live SHACL/JSON-LD workstream with NCES. Fails 1: the README describes object properties the shipped artifact does not contain",fabio-rovai/learning-standards-ontology,README.md (incumbent section; data currency section),100 * 3/(3+1),75.0
GOV.UK Content API + Search,D2,Published URLs resolving through the Content API,499 of 500 sampled sitemap URLs fetched successfully (1 fetch error),fabio-rovai/enterprise-knowledge-ontology,reports/withdrawn_probe.json,100 * 499/500,99.8
GOV.UK Content API + Search,D3,Agreement between GOV.UK's curated search index and its crawlable surface,"The curated search index returns 0 withdrawn documents, but 32 of 499 sampled sitemap URLs (6.41%) are withdrawn and 25 still serve full body text through the Content API; the sitemap advertises 864,397 URLs against 708,433 search-index documents",fabio-rovai/enterprise-knowledge-ontology,reports/withdrawn_probe.json; reports/cri_govuk.json (D4),100 - 6.41,93.59
GOV.UK Content API + Search,D4,Documents carrying a live owning organisation,"CRI D1 commitment coverage scored 91.1: 4 documents have no owning organisation, 4,810 are owned only by non-live organisations, 127 by an organisation that no longer exists, of 54,222",fabio-rovai/enterprise-knowledge-ontology,reports/cri_govuk.json (D1_commitment_coverage),91.1 (as recorded),91.1
GOV.UK Content API + Search,D4,Documents carrying any maintenance-commitment field,"0 of 300 randomly sampled documents carry any field expressing a review date, expiry, verification date, owner-person, maintainer, steward or retention rule, across 133 distinct JSON keys observed",fabio-rovai/enterprise-knowledge-ontology,reports/commitment_field_probe.json,100 * 0/300,0.0
GOV.UK Content API + Search,D5,Governance signal checklist (recorded signals only),"Passes 4: a withdrawn flag exists and the curated search index honours it completely; per-document public_updated_at timestamps; Open Government Licence; owning organisations named per document. Fails 2: no review-cadence or verification-date field exists anywhere in the public metadata (0 of 133 keys); withdrawn pages remain live at their original addresses, in the sitemap, fully served with body text",fabio-rovai/enterprise-knowledge-ontology,reports/cri_govuk.json; reports/withdrawn_probe.json; README.md (finding 1),100 * 4/(4+2),66.67
Federal Reserve MDRM,D1,Flag values conforming to the declared flag vocabulary,"Exactly 1 row of 87,702 carries a lowercase n where the confidentiality flag is otherwise Y/N (SVGL K072, OTS 1313, 2011); separately, item type E is documented in the Federal Reserve's own README and used on zero rows",fabio-rovai/bank-register-ontology,README.md (findings 17 and 18),100 * (1 - 1/87702),100.0
Federal Reserve MDRM,D4,Item codes carrying a definition,"27,445 of 47,305 item codes carry no definition anywhere in the dictionary (58.0%); keyed on the eight-character MDRM identifier the figure is 33,281 of 75,264 (44.2%)",fabio-rovai/bank-register-ontology,README.md (finding 12); reports/GOVERNANCE_REPORT.md (section 2),100 * (1 - 27445/47305),41.98
Federal Reserve MDRM,D4,Rows naming the reporting form that imposes them,"7,171 of 87,702 rows name no reporting form at all, dominated by the UBPR series",fabio-rovai/bank-register-ontology,README.md (finding 16); reports/GOVERNANCE_REPORT.md (section 2),100 * (1 - 7171/87702),91.82
Federal Reserve MDRM,D5,Governance signal checklist (recorded signals only),"Passes 3: US Government public data; the file is rebuilt on a dated cadence (04:00 rebuild recorded); a documented README declares the flag vocabularies. Fails 1: the documentation declares an item type (E) that no row uses, and form-specific scope is recorded only as free text under COMPARABILITY headings (1,278 concepts)",fabio-rovai/bank-register-ontology,"README.md (findings 11, 17; reproduce section)",100 * 3/(3+1),75.0
SEC Form N-PORT dataset,D1,Series-level LEI conformance in N-PORT filings,"15 of 14,360 populated series-level LEI cells fail conformance: 9 check-digit failures and 6 all-zeros placeholders",fabio-rovai/securities-register-ontology,reports/nport_census.json; docs/BUILD_REPORT.md (finding 7),100 * (1 - 15/14360),99.90
SEC Form N-PORT dataset,D1,Holdings issuer LEI conformance,"51 of 3,394,447 populated holdings issuer LEI values fail conformance: 19 check-digit failures and 32 malformed strings",fabio-rovai/securities-register-ontology,reports/nport_census.json; docs/BUILD_REPORT.md (finding 7),100 * (1 - 51/3394447),99.99
SEC Form N-PORT dataset,D1,Holdings issuer CUSIP check-digit conformance,"20,728 of 3,564,226 populated holdings issuer CUSIP values fail the CUSIP modulus 10 check digit (0.58%)",fabio-rovai/securities-register-ontology,reports/nport_census.json; docs/BUILD_REPORT.md (finding 7),100 * (1 - 20728/3564226),99.42
SEC Form N-PORT dataset,D2,Asserted LEI values resolving in the GLEIF golden copy,"11 of 40,021 distinct valid LEI values asserted on N-PORT surfaces do not exist in the GLEIF golden copy; plausible identifiers resolving to nothing",fabio-rovai/securities-register-ontology,reports/dangling_valid.json; docs/BUILD_REPORT.md (finding 6),100 * (1 - 11/40021),99.97
SEC Form N-PORT dataset,D3,Series LEIs agreeing with GLEIF across the register boundary,"12,504 of 12,604 comparable series agree with the LEI GLEIF registers for the same EDGAR series id; 100 disagree, including a checksum-detectable I-for-1 substitution (Voya Ultra Short Income ETF) and cyclically swapped sibling ETFs (VictoryShares)",fabio-rovai/securities-register-ontology,reports/series_reconciliation.json; docs/BUILD_REPORT.md (finding 5),100 * 12504/12604,99.21
SEC Form N-PORT dataset,D4,Series LEI coverage,"12,932 of 12,944 series filing N-PORT in 2026 Q2 report a series LEI",fabio-rovai/securities-register-ontology,reports/nport_census.json,100 * 12932/12944,99.91
SEC Form N-PORT dataset,D4,Holdings issuer LEI coverage,"3,394,447 of 5,347,869 holdings rows carry a populated issuer LEI (63.5%)",fabio-rovai/securities-register-ontology,reports/nport_census.json,100 * 3394447/5347869,63.47
SEC Form N-PORT dataset,D5,Governance signal checklist (recorded signals only),"Passes 4: US Government public-domain licence; named custodian (SEC DERA); pinned dated quarterly files that reproduce exactly; submissions schema-validated as XML. Fails 1: no identifier checksum or resolution validation at ingestion, so check-digit failures and dangling LEIs pass straight through",fabio-rovai/securities-register-ontology,docs/BUILD_REPORT.md,100 * 4/5,80.0
SEC EDGAR entity register,D1,Conformance of the populated lei field,"667 of 773 populated lei-field values are valid LEIs; the remainder are 28 foreign-content values including telephone numbers and entity names, 28 otherwise malformed strings, 14 check-digit failures, and 36 placeholder tokens",fabio-rovai/securities-register-ontology,docs/BUILD_REPORT.md (finding 2); reports/GOVERNANCE_SUMMARY.json,100 * 667/773,86.29
SEC EDGAR entity register,D2,Valid lei-field values resolving in the GLEIF golden copy,"All 667 valid LEI values resolve to golden-copy records; the register's defects are emptiness and junk content, not fabrication",fabio-rovai/securities-register-ontology,docs/BUILD_REPORT.md (finding 6),100 * 667/667,100.0
SEC EDGAR entity register,D3,Agreement with the operator's own Form N-PORT surface,11 of 12 registrants with an LEI on both the entity register and Form N-PORT agree; CIK 892538 (SunAmerica Series Trust) carries its investment adviser's LEI on the entity register,fabio-rovai/securities-register-ontology,docs/BUILD_REPORT.md (finding 3),100 * (1 - 1/12),91.67
SEC EDGAR entity register,D4,LEI coverage of the entity register,"773 of 981,355 entity records carry a populated lei field (0.079%), against 358,275 US records in the GLEIF golden copy",fabio-rovai/securities-register-ontology,docs/BUILD_REPORT.md (finding 1),100 * 773/981355,0.08
